temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5,titulo,autor,especiales,pais,region,ciudad,sexo,edad,categoria
6,19,"El beso, de Esperanza Roy",Pepa Aniorte,5,8,8,8,7,,14.0,29 (7),0,El beso,Esperanza Roy,,España,Valencia,Orihuela,F,44,Cine
6,1,"Angels, de Robbie Williams",Miquel Fernández,7,9,10,10,12,,20.0,36 (8),0,Angels,Robbie Williams,,España,Cataluña,Barcelona,M,37,Cine
6,2,"Attention, de Charlie Puth",Miquel Fernández,10,9,10,12,8,,18.0,41 (10),0,Attention,Charlie Puth,,España,Cataluña,Barcelona,M,37,Cine
6,3,"Tell Him, de Céline Dion y Barbra Streisand (Dos en uno)",Miquel Fernández,8,11,11,12,11,,22.0,42 (11),0,Tell Him,Céline Dion y Barbra Streisand (Dos en uno),Dos,España,Cataluña,Barcelona,M,37,Cine
6,4,"Amar pelos dois, de Salvador Sobral",Miquel Fernández,12,12,12,12,12,,24.0,48 (12),0,Amar pelos dois,Salvador Sobral,,España,Cataluña,Barcelona,M,37,Cine
6,5,"Celebration, de James ""J.T."" Taylor (Kool & The Gang)",Miquel Fernández,8,10,9,7,8,,17.0,34 (9),0,Celebration,"James ""J.T."" Taylor (Kool & The Gang)",,España,Cataluña,Barcelona,M,37,Cine
6,6,"Pájaros de barro, de Manolo García",Miquel Fernández,7,5,6,5,8,,13.0,23 (5),0,Pájaros de barro,Manolo García,,España,Cataluña,Barcelona,M,37,Cine
6,7,"I Still Haven't Found What I'm Looking For, de Bono (U2)",Miquel Fernández,11,11,11,11,12,,23.0,44 (11),0,I Still Haven't Found What I'm Looking For,Bono (U2),,España,Cataluña,Barcelona,M,37,Cine
6,8,"Stand by my woman, de Lenny Kravitz",Miquel Fernández,10,8,9,10,7,,16.0,37 (9),0,Stand by my woman,Lenny Kravitz,,España,Cataluña,Barcelona,M,37,Cine
6,9,"Sign of the Times, de Harry Styles",Miquel Fernández,10,12,11,11,12,,23.0,44 (11),0,Sign of the Times,Harry Styles,,España,Cataluña,Barcelona,M,37,Cine
6,10,"Life on Mars?, de David Bowie",Miquel Fernández,12,12,11,11,12,,24.0,46 (12),0,Life on Mars?,David Bowie,,España,Cataluña,Barcelona,M,37,Cine
