temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5
2,1,"Se fue, de Laura Pausini",Ángeles Muñoz,4,7.0,6,7,0,María,0.0,35,6
2,1,"Bailar pegados, de Sergio Dalma",Javier Herrero,7,6.0,4,6,0,Ángeles,0.0,35,7
2,1,"El bimbó, El negro no puede, El africano y La barbacoa, de Georgie Dann",María del Monte,6,4.0,5,5,0,Javier,0.0,35,5
2,2,"Soy minero, de Antonio Molina",Daniel Diges,10,10.0,12,12,0,Javier,0.0,63,9
2,2,"Lágrimas negras, de Diego el Cigala",Javier Herrero,9,12.0,7,7,0,María,0.0,55,10
2,2,"Juntos, de Paloma San Basilio",Roko,12,9.0,9,8,0,Arturo,0.0,45,7
2,2,"Quizás, quizás, quizás, Ansiedad, Cachito, Yo vendo unos ojos negros y Capullito de alhelí, de Nat King Cole",Santiago Segura,4,7.0,10,9,0,Anna,0.0,42,12
2,2,"Mi tierra, de Gloria Estefan",María del Monte,7,6.0,4,10,0,Anna,0.0,40,8
2,2,"Fly away, de Lenny Kravitz",Anna Simon,6,4.0,5,5,0,Daniel,0.0,35,5
2,2,"Por la boca vive el pez, de Fito Cabrales (Fito y Fitipaldis)",Ángeles Muñoz,8,5.0,8,6,0,Daniel,0.0,33,6
2,2,"Faith, de George Michael",Arturo Valls,5,8.0,6,4,0,Javier,0.0,32,4
2,3,"Que nadie sepa mi sufrir, de María Dolores Pradera",María del Monte,12,10.0,10,12,0,Santiago,0.0,69,10
2,3,"Noelia, de Nino Bravo",Daniel Diges,10,9.0,9,10,0,Anna,0.0,55,12
2,3,"Baby, de Justin Bieber",Roko,9,12.0,8,9,0,Marìa,0.0,50,7
2,3,"Que me coma el tigre, de Lola Flores",Anna Simon,7,7.0,12,6,0,Marìa,0.0,46,9
2,3,"Ilarié, de Xuxa",Ángeles Muñoz,8,8.0,6,8,0,Roko,0.0,36,6
2,3,"Solo pienso en ti y Nada sabe tan dulce como su boca, de Víctor Manuel",Santiago Segura,6,6.0,5,4,0,Daniel,0.0,34,8
2,3,"Sola (con un desconocido), de Marta Sánchez (Olé Olé)",Arturo Valls,4,5.0,7,7,0,Marìa,0.0,33,5
2,3,"Mañanas de terciopelo, de Demis Roussos",Javier Herrero,5,4.0,4,5,0,Arturo,0.0,22,4
2,4,"Dulce locura, de Amaia Montero (La Oreja de Van Gogh)",Anna Simon,12,12.0,12,12,0,Ángeles,0.0,78,10
2,4,"Como un vagabundo, de Bertín Osborne",Arturo Valls,8,10.0,9,10,0,Anna,0.0,56,9
2,4,"Volver, de Carlos Gardel",María del Monte,7,8.0,10,8,0,Arturo,0.0,45,12
2,4,"Sevillanas de los bloques (Estoy atacá), de Martirio",Roko,9,9.0,4,7,0,Anna,0.0,41,7
2,4,"Eloise, de Tino Casal",Daniel Diges,10,7.0,5,5,0,Arturo,0.0,35,8
2,4,"Love me tender y Viva Las Vegas, de Elvis Presley",Santiago Segura,6,6.0,8,9,0,Roko,0.0,35,6
2,4,"Fue tan poco tu cariño, de Rocío Dúrcal",Ángeles Muñoz,5,5.0,6,6,0,Anna,0.0,31,4
2,4,"La flaca, de Pau Donés (Jarabe de Palo)",Javier Herrero,4,4.0,7,4,0,Anna,0.0,24,5
2,5,"Yo no soy esa, de Mari Trini",Javier Herrero,5,4.0,5,4,0,Ángeles,0.0,58,5
2,5,"Someone like you, de Adele",Roko,9,12.0,12,12,0,Javier,0.0,54,9
2,5,"Fumando espero, de Sara Montiel (El último cuplé)",María del Monte,12,10.0,10,8,0,Javier,0.0,50,10
2,5,"Super Superman, de Miguel Bosé",Arturo Valls,10,9.0,6,9,0,Javier,0.0,46,12
2,5,"El toro guapo y Apatrullando la ciudad, de El Fary",Santiago Segura,7,7.0,7,10,0,Javier,0.0,38,7
2,5,"Bad romance, de Lady Gaga",Anna Simon,6,8.0,8,7,0,Javier,0.0,37,8
2,5,"No soy un superman, de David Bustamante",Daniel Diges,8,6.0,9,5,0,Javier,0.0,34,6
2,5,"No dudaría, de Antonio Flores",Ángeles Muñoz,4,5.0,4,6,0,Javier,0.0,28,4
2,6,"Never gonna give you up, de Rick Astley",Arturo Valls,10,12.0,12,7,0,María,0.0,61,0
2,6,"La bien pagá, de Miguel de Molina",Roko,12,10.0,9,12,0,Ángeles,0.0,48,0
2,6,"Mujer latina, de Thalía",Ángeles Muñoz,6,7.0,8,8,0,Arturo,0.0,34,0
2,6,"Ai Se Eu Te Pego, de Michel Teló",María del Monte,7,9.0,7,6,0,Arturo,0.0,34,0
2,6,"Visa para un sueño, La bilirrubina y Ojalá que llueva café, de Juan Luis Guerra",Santiago Segura,5,4.0,5,9,0,Arturo,0.0,33,0
2,6,"Yo quiero bailar, de Sonia Madoc  con Patricia Pérez como Selena Leo (Sonia y Selena)",Anna Simon,8,8.0,10,5,0,"Anna:Arturo
Patricia: Santiago",0.0,31,0
2,6,"The Final Countdown, de Joey Tempest (Europe)",Daniel Diges,9,6.0,6,10,0,Roko,0.0,31,0
2,6,"Perdóname, de Camilo Sesto",Javier Herrero,4,5.0,4,4,0,Santiago,0.0,17,0
2,7,"Mi gente, de Lucrecia",Ángeles Muñoz,5,5.0,7,5,0,Arturo,0.0,62,0
2,7,"Price Tag, de Jessie J",Roko,12,12.0,10,12,0,Ángeles,0.0,46,0
2,7,"Estando contigo y Tómbola, de Marisol",Anna Simon,9,10.0,12,9,0,Ángeles,0.0,40,0
2,7,"Amor de hombre, de Amaya Uranga (Mocedades)",María del Monte,10,9.0,9,10,0,Ángeles,0.0,38,0
2,7,"Experiencia religiosa, de Enrique Iglesias",Arturo Valls,8,8.0,8,8,0,Ángeles,0.0,37,0
2,7,"Será que no me amas, de Luis Miguel",Daniel Diges,6,7.0,4,6,0,Ángeles,0.0,23,0
2,7,"Killing Me Softly, de Pitingo",Javier Herrero,7,6.0,6,4,0,Ángeles,0.0,23,0
2,7,"Sólo se vive una vez, de Encarna Salazar con Julio Iglesias Jr. como Toñi Salazar (Azúcar Moreno)",Santiago Segura,4,4.0,5,7,0,"Julio:Ángeles
Santiago:Ángeles",0.0,20,0
2,8,"Gangnam Style, de PSY",Santiago Segura,12,12.0,12,12,0,Ángeles,0.0,80,12
2,8,"Hijo de la luna, de Montserrat Caballé",Daniel Diges,10,10.0,10,9,0,Santiago,0.0,54,10
2,8,"Este amor no se toca, de Yuri",Roko,9,9.0,9,8,0,Anna,0.0,44,4
2,8,"Entre mis recuerdos, de Luz Casal",Ángeles Muñoz,5,7.0,7,10,0,Santiago,0.0,42,8
2,8,"California Gurls, de Katy Perry",Anna Simon,8,8.0,8,6,0,Santiago,0.0,41,6
