,temporada,programa,cancion,artista,j1,j2,j3,j4,publico,a,b,c
6,4,1,"Corazón contento, de Marisol",Rosa López,6,7,7,7,27 (7),7,14,
7,4,1,"Soy lo que me das, de Chenoa",Canco Rodríguez,7,6,6,6,25 (6),6,12,
8,4,1,"Hymn for the Weekend, de Chris Martin (Coldplay)",David Guapo,4,5,4,4,17 (4),5,9,
9,4,1,"Un pueblo es, María Ostiz",Yolanda Ramos,5,4,5,5,19 (5),4,9,
0,4,2,CL,LF,C,ÀL,Total,,,,,
1,4,2,"Can't Stop the Feeling!, de Justin Timberlake",Blas Cantó,12,12,11,11,46 (12),12,24,
2,4,2,"La casa por el tejado, de Fito Cabrales (Fito y los Fitipaldis)",Juan Muñoz,10,10,8,9,37 (10),11,21,
3,4,2,"No, de Meghan Trainor",Rosa López,11,11,10,12,44 (11),9,20,
4,4,2,"Always , de Jon Bon Jovi (Bon Jovi)",Lorena Gómez,9,7,7,8,31 (9),8,17,
5,4,2,"Diles, de Malú",Beatriz Luengo,7,8,9,6,30 (6),10,16,
6,4,2,"Pippi Calzaslargas, de Pippi Calzaslargas",Yolanda Ramos,4,4,12,10,30 (8),7,15,
7,4,2,"Don't get me wrong, de Chrissie Hynde (The Pretenders)",Esther Arroyo,8,9,6,7,30 (7),6,13,
8,4,2,"Juanita Banana, de Luis Aguilé",Canco Rodríguez,5,6,5,5,21 (5),5,10,
9,4,2,"Cómo te atreves, de Juan Pablo Isaza (Morat) (Original y copia)",David Guapo,6,5,4,4,19 (4),4,8,
0,4,3,CL,LF,C,ÀL,Total,,,,,
1,4,3,"Sola, de Diana Navarro (Training VIP)",Blas Cantó,12,12,12,12,48 (12),12,24,
2,4,3,"GoldenEye, de Tina Turner",Rosa López,6,11,10,6,33 (10),10,20,
3,4,3,"Just a Gigolo y I Ain't Got Nobody, de Louis Prima",Juan Muñoz,11,10,11,8,40 (11),9,20,
4,4,3,"If I Ain't Got You , de Alicia Keys",Beatriz Luengo,8,7,9,7,31 (8),11,19,
5,4,3,"La salchipapa, de Leticia Sabater",Yolanda Ramos,10,6,7,10,33 (9),7,16,
6,4,3,"La chica de ayer, de Antonio Vega (Nacha Pop)",Canco Rodríguez,5,9,5,11,30 (7),8,15,
7,4,3,"Ven sin temor, de Bruno Lomas",David Guapo,7,8,6,9,30 (6),6,12,
8,4,3,"Domino , de Jessie J",Lorena Gómez,9,5,8,5,27 (5),5,10,
9,4,3,"Perfect, de Eddi Reader (Fairground Attraction)",Esther Arroyo,4,4,4,4,16 (4),4,8,
0,4,4,CL,LF,C,ÀL,Total,,,,,
1,4,4,"90 minutos, de India Martínez (Training VIP)",Lorena Gómez,12,12,12,12,48 (12),12,24,
2,4,4,"Stay With Me, de Sam Smith",Blas Cantó,9,10,10,6,35 (10),10,20,
3,4,4,"All That Jazz, de Catherine Zeta-Jones (Chicago)",Beatriz Luengo,11,11,11,9,42 (11),9,20,
4,4,4,"Frozen, de Madonna",Rosa López,5,5,7,8,25 (6),11,17,
5,4,4,"Pon una cinta en el viejo roble, de Helena Bianco (Los Mismos)",Esther Arroyo,8,8,9,10,35 (9),8,17,
6,4,4,"Adiós, papá, de Coque Malla (Los Ronaldos)",David Guapo,10,9,8,7,34 (8),7,15,
7,4,4,"Hola, mi amor, de Junco",Yolanda Ramos,7,6,5,11,29 (7),4,11,
8,4,4,"It's A Heartache, de Bonnie Tyler",Juan Muñoz,6,4,4,4,18 (4),6,10,
9,4,4,"Come As You Are, de Kurt Cobain (Nirvana)",Canco Rodríguez,4,7,6,5,22 (5),5,10,
0,4,5,CL,LF,C,ÀL,Total,,,,,
1,4,5,"Friday I'm in Love, de Robert Smith (The Cure)",Canco Rodríguez,12,12,12,12,48 (12),10,22,
2,4,5,"Livin' la vida loca, de Ricky Martin",Blas Cantó,9,10,10,9,38 (10),12,22,
3,4,5,"Marinero de luces, de Isabel Pantoja",Beatriz Luengo,8,9,9,11,37 (9),11,20,
4,4,5,"Amor a la mexicana, de Thalía",Rosa López,11,11,11,10,43 (11),9,20,
5,4,5,"La bicicleta, de Shakira y Carlos Vives (Trae un amigo) con Xuso Jones",Lorena Gómez,10,8,7,6,31 (8),8,16,
6,4,5,"Angie, de Mick Jagger (The Rolling Stones)",Esther Arroyo,6,6,6,8,26 (7),7,14,
7,4,5,"Big Spender, de Norma Duval",Yolanda Ramos,5,7,8,5,25 (6),6,12,
8,4,5,"Walk of Life, de Mark Knopfler (Dire Straits)",David Guapo,7,5,5,7,24 (5),5,10,
9,4,5,"El muerto vivo, de Peret",Juan Muñoz,4,4,4,4,16 (4),4,8,
0,4,6,CL,LF,C,ÀL,Total,,,,,
1,4,6,"Crazy, de Patsy Cline",Esther Arroyo,9,11,10,11,41 (11),12,23,
2,4,6,"Qué voy a hacer con mi amor, de Alejandro Fernández",Blas Cantó,11,9,11,10,41 (10),11,21,
3,4,6,"Cheap Thrills, de Sia",Beatriz Luengo,12,12,12,12,48 (12),9,21,
4,4,6,"El progreso, de Roberto Carlos",Juan Muñoz,10,10,9,9,38 (9),10,19,
5,4,6,"When We Were Young, de Adele",Lorena Gómez,7,7,7,6,27 (6),8,14,
6,4,6,"Trololo, de  Eduard Khill",Canco Rodríguez,8,8,5,7,28 (7),7,14,
7,4,6,"Maman, maman, de Jean Jacques",Yolanda Ramos,6,6,8,8,28 (8),5,13,
8,4,6,"Dancing Queen, de Anni-Frid Lyngstad (ABBA) (Trae un amigo) con Verónica Romero",Rosa López,5,4,6,4,19 (5),6,11,
9,4,6,"Duro de pelar, de Rebeca",David Guapo,4,5,4,5,18 (4),4,8,
0,4,7,CL,LF,C,ÀL,Total,,,,,
1,4,7,"Believe, de Cher",Blas Cantó,12,11,10,12,45 (12),12,24,
2,4,7,"Bad Girls, de Donna Summer",Rosa López,8,8,8,8,32 (8),11,19,
3,4,7,"Fue un placer conocerte, de Rocío Dúrcal",Lorena Gómez,11,10,11,11,43 (10),9,19,
4,4,7,"Memory, de Barbra Streisand",Beatriz Luengo,9,7,7,6,29 (7),10,17,
5,4,7,"Poupée de cire, poupée de son, de France Gall",Esther Arroyo,7,9,9,9,34 (9),7,16,
6,4,7,"Pa Madrid, de El Barrio",Juan Muñoz,10,12,12,10,44 (11),4,15,
7,4,7,"Duele el corazón, de Enrique Iglesias",David Guapo,5,5,6,5,21 (5),8,13,
8,4,7,"Madre Tierra, de Chayanne",Canco Rodríguez,6,6,5,7,24 (6),5,11,
9,4,7,"Piece of my heart, de Janis Joplin",Yolanda Ramos,4,4,4,4,16 (4),6,10,
0,4,8,CL,LF,C,ÀL,Total,,,,,
1,4,8,"Devuélveme la vida, de Antonio Orozco",Canco Rodríguez,12,10,10,12,44 (12),12,24,
2,4,8,"Feeling Good, de Michael Bublé",Blas Cantó,10,11,9,11,41 (11),11,22,
3,4,8,"New York, New York, de Liza Minnelli y Frank Sinatra (Trae un amigo) con Pablo Puyol",Beatriz Luengo,9,12,8,10,39 (9),10,19,
4,4,8,"Me duele la cara de ser tan guapo, de Alfonso Aguado (Los Inhumanos)",David Guapo,11,8,12,8,39 (10),8,18,
5,4,8,"Te quiero, te quiero, de Carmen Sevilla",Rosa López,7,9,11,9,36 (8),9,17,
6,4,8,"Stronger (What Doesn't Kill You), de Kelly Clarkson",Lorena Gómez,8,7,7,7,29 (7),6,13,
7,4,8,"Smooth Operator, de Sade Adu (Sade)",Esther Arroyo,6,5,5,6,22 (5),7,12,
8,4,8,"In the summertime, de Ray Dorset (Mungo Jerry)",Juan Muñoz,5,6,6,5,22 (6),5,11,
9,4,8,"Fever, de Peggy Lee",Yolanda Ramos,4,4,4,4,16 (4),4,8,
0,4,9,CL,LF,C,ÀL,Total,,,,,
1,4,9,"S.O.S, de Falete (Training VIP)",Blas Cantó,12,12,12,12,48 (12),12,24,
2,4,9,"Cuando nadie me ve, de Niña Pastori",Lorena Gómez,10,11,10,11,42 (10),11,21,
3,4,9,"Focus, de Ariana Grande",Beatriz Luengo,11,10,11,10,42 (11),10,21,
4,4,9,"Stars, de Mick Hucknall (Simply Red)",Rosa López,8,6,9,7,30 (8),9,17,
5,4,9,"Singin' in the Rain, de Gene Kelly (Cantando bajo la lluvia)",Canco Rodríguez,9,9,7,9,34 (9),8,17,
6,4,9,"A puro dolor, de Ángel López (Son by Four)",David Guapo,5,5,6,8,24 (6),7,13,
7,4,9,"Échale guindas al pavo, de Rosa Morena",Esther Arroyo,7,8,8,6,29 (7),5,12,
8,4,9,"Soy un gnomo, de David el gnomo",Yolanda Ramos,4,4,4,4,16 (4),6,10,
9,4,9,"Tren de largo recorrido, de Rafa Sánchez (La Unión)",Juan Muñoz,6,7,5,5,23 (5),4,9,
0,4,10,CL,LF,C,ÀL,Total,,,,,
1,4,10,"Sin saber por qué, de Vanesa Martín (Training VIP)",Rosa López,11,10,12,11,44 (12),12,24,
2,4,10,"La Bohème, de Charles Aznavour",Blas Cantó,9,11,11,12,43 (11),11,22,
3,4,10,"Un-Break My Heart, de Toni Braxton",Beatriz Luengo,8,12,10,8,38 (10),10,20,
4,4,10,"Bette Davis Eyes, de Kim Carnes",Esther Arroyo,6,7,8,6,27 (6),9,15,
5,4,10,"Lucía, de David Bisbal",Lorena Gómez,7,9,9,7,32 (7),8,15,
6,4,10,"Cuando zarpa el amor, de Dionisio Martín (Camela) (Trae un amigo) con Carlos Marco",Yolanda Ramos,12,6,6,9,33 (8),7,15,
7,4,10,"I'm Yours, de Jason Mraz",David Guapo,10,8,7,10,35 (9),5,14,
8,4,10,"Banana Boat Song, de Harry Belafonte",Juan Muñoz,5,5,5,5,20 (5),6,11,
9,4,10,"Me enamora, de Juanes",Canco Rodríguez,4,4,4,4,16 (4),4,8,
0,4,11,CL,LF,C,ÀL,Total,,,,,
1,4,11,"Get Lucky, de Pharrell Williams y Daft Punk",Canco Rodríguez,6,10,10,10,36 (10),12,22,
2,4,11,"No me importa nada, de Luz Casal",Rosa López,12,12,12,11,47 (12),10,22,
3,4,11,"Purple Rain, de Prince y Beyoncé (Trae un amigo) con Roko",Blas Cantó,11,8,11,6,36 (9),11,20,
4,4,11,"One Moment in Time, de Whitney Houston",Lorena Gómez,8,11,9,12,40 (11),9,20,
5,4,11,Contigo en la distancia de Christina Aguilera,Beatriz Luengo,7,7,8,9,31 (7),8,15,
6,4,11,"Arriba los corazones, de Antonio Flores",Juan Muñoz,10,9,6,7,32 (8),6,14,
7,4,11,"Do You Really Want to Hurt Me, de Boy George (Culture Club)",Esther Arroyo,9,6,7,8,30 (6),7,13,
8,4,11,"¿Quién maneja mi barca?, de Remedios Amaya",Yolanda Ramos,4,4,4,5,17 (4),5,9,
9,4,11,"Sofía, de Álvaro Soler",David Guapo,5,5,5,4,19 (5),4,9,
0,4,12,CL,LF,C,ÀL,Total,,,,,
1,4,12,"Work, de Rihanna y Drake (Trae un amigo) con Yotuel",Beatriz Luengo,11,11,11,9,42 (11),11,22,
2,4,12,"Una vez más, de David Otero (Original y copia) con David Otero",David Guapo,12,12,12,12,48 (12),9,21,
3,4,12,"La mala costumbre, de Pastora Soler",Lorena Gómez,10,9,10,11,40 (10),10,20,
4,4,12,Ave María de Andrea Bocelli,Blas Cantó,7,6,7,5,25 (5),12,17,
5,4,12,"Moving, de Macaco",Canco Rodríguez,6,7,8,7,28 (8),8,16,
6,4,12,"Killing Me Softly with His Song, de Lauryn Hill (The Fugees)",Esther Arroyo,8,5,6,8,27 (7),7,14,
7,4,12,"Pump Up the Jam, de Ya Kid K (Technotronic)",Rosa López,9,8,9,10,36 (9),5,14,
8,4,12,"Ça plane pour moi, de Plastic Bertrand",Yolanda Ramos,4,10,5,6,25 (6),6,12,
9,4,12,"Por una cabeza, de Carlos Gardel",Juan Muñoz,5,4,4,4,17 (4),4,8,
0,4,13,CL,LF,C,ÀL,Total,,,,,
1,4,13,Somebody to Love de Freddie Mercury (Queen),Blas Cantó,11,11,12,12,46 (11),12,23,
2,4,13,"Hit the Road, Jack, de Ray Charles y The Raelettes (Trae un amigo) con Sweet California",Canco Rodríguez,8,10,10,9,37 (10),10,20,
3,4,13,"Come, de Jain",Rosa López,7,8,8,10,33 (8),11,19,
4,4,13,"Ocupen su localidad y Hoy puede ser un gran día, de Serrat y Sabina (Dos en uno)",Juan Muñoz,12,12,11,11,46 (12),7,19,
5,4,13,"If You Had My Love y Get Right, de Jennifer López",Lorena Gómez,10,9,7,8,34 (9),8,17,
6,4,13,"Volver, de Estrella Morente",Beatriz Luengo,5,5,9,7,26 (7),9,16,
7,4,13,"Two little girls from Little Rock, de Jane Russell y Marilyn Monroe (Los caballeros las prefieren rubias) (Trae un amigo) con Silvia Abril",Esther Arroyo,6,7,6,6,25 (5),6,11,
8,4,13,"Sweet Home Alabama, de Lynyrd Skynyrd",David Guapo,9,6,5,5,25 (6),5,11,
9,4,13,"Suspiros de España, de Estrellita Castro",Yolanda Ramos,4,4,4,4,16 (4),4,8,
0,4,14,CL,LF,C,SA,Total,,,,,
1,4,14,"80 veces, de Rozalén (Training Vip)",Esther Arroyo,11,12,12,12,47 (12),10,22,
2,4,14,"No dejes de soñar, de Manuel Carrasco",Canco Rodríguez,7,7,7,11,32 (8),12,20,
3,4,14,"Hallelujah, de Jennifer Hudson",Beatriz Luengo,9,9,9,10,37 (9),11,20,
4,4,14,"Libre, de Nino Bravo",Blas Cantó,10,10,10,9,39 (10),9,19,
5,4,14,"Can't Take My Eyes Off You, de Gloria Gaynor",Lorena Gómez,12,11,11,7,41 (11),8,19,
6,4,14,"Blank Space, de Taylor Swift",Rosa López,6,8,8,8,30 (7),7,14,
7,4,14,"La yenka, de Enrique y Ana (Dos en uno)",Yolanda Ramos,4,4,6,6,20 (5),6,11,
8,4,14,"Cuéntame un cuento, de Jesús Cifuentes (Celtas Cortos)",David Guapo,8,6,4,4,22 (6),4,10,
9,4,14,"El mundo, de Jimmy Fontana",Juan Muñoz,5,5,5,5,20 (4),5,9,
0,4,15,CL,LF,C,ÀL,Total,,,,,
1,4,15,"Left Outside Alone, de Anastacia",Blas Cantó,12,12,12,12,48 (12),12,24,
2,4,15,Million Reasons de Lady Gaga,Beatriz Luengo,11,11,10,11,43 (11),10,21,
3,4,15,"El Pichi, de Sara Montiel",Rosa López,7,6,9,10,32 (9),11,20,
4,4,15,"The Show Must Go On, de Céline Dion",Lorena Gómez,10,10,11,8,39 (10),9,19,
5,4,15,"Cien gaviotas, de Mikel Erentxun (Duncan Dhu)",David Guapo,9,5,5,9,28 (8),6,14,
6,4,15,"Kung Fu Fighting, de Carl Douglas",Yolanda Ramos,4,4,4,4,16 (4),8,12,
7,4,15,"Cuando los ángeles lloran, de Fernando Olvera (Maná) y Miguel Ríos (Trae un amigo) con Adrián Lastra",Canco Rodríguez,5,8,7,7,27 (5),7,12,
8,4,15,"El hombre del piano, de Ana Belén",Esther Arroyo,8,7,8,5,28 (7),5,12,
9,4,15,I'm a Believer de Steven Harwell (Smash Mouth),Juan Muñoz,6,9,6,6,27 (6),4,10,
0,4,16,CL,LF,C,ÀL,Total,,,,,
1,4,16,"My Way, de Shirley Bassey",Lorena Gómez,12,12,12,11,47 (12),11,23,
2,4,16,Run the World (Girls) de Beyoncé,Beatriz Luengo,8,10,10,8,36 (10),10,20,
3,4,16,"Infinito, de Enrique Bunbury",Canco Rodríguez,11,11,8,10,40 (11),9,20,
4,4,16,"Oye, de Gloria Estefan",Rosa López,6,7,9,6,28 (6),12,18,
5,4,16,"Dora la exploradora, de Dora la Exploradora",Yolanda Ramos,5,6,11,12,34 (9),8,17,
6,4,16,"Smile, de Judy Garland",Esther Arroyo,9,9,7,9,34 (8),7,15,
7,4,16,"Folsom Prison Blues, de Johnny Cash",David Guapo,10,8,6,7,31 (7),6,13,
8,4,16,Woman de John Lennon,Juan Muñoz,7,5,5,5,22 (5),5,10,
0,5,0,CL,LF,C,ÀL,Total,,,,,
1,5,0,"Lo haré por ti, de Paulina Rubio",Pepa Aniorte,12,10,8,11,41 (12),11,23,
2,5,0,"Angels, de Robbie Williams",Miquel Fernández,7,9,10,10,36 (8),12,20,
3,5,0,"Sevilla, de Miguel Bosé",Fran Dieli,11,11,12,6,40 (11),9,20,
4,5,0,"When Love Takes Over, de Kelly Rowland",Diana Navarro,8,12,9,9,38 (9),10,19,
5,5,0,"Malibu, de Miley Cyrus",Lucía Gil,9,8,11,12,40 (10),8,18,
6,5,0,"Mi gente, de J Balvin",David Amor,4,5,4,7,20 (5),7,12,
7,5,0,"That Don't Impress Me Much, de Shania Twain",Lucía Jiménez,6,6,7,5,24 (6),6,12,
8,5,0,"El brujito de Gulubú, de Rosa León",Raúl Pérez,10,7,6,8,31 (7),5,12,
9,5,0,"Pepa Bandera, de Encarnita Polo",La Terremoto de Alcorcón,5,4,5,4,18 (4),4,8,
0,5,1,CL,LF,C,ÀL,Total,,,,,
1,5,1,"Kiss, de Prince",Fran Dieli,12,12,12,7,43 (11),12,23,
2,5,1,"Parole parole, de Mina y Alberto Lupo (Trae un amigo) con Luis Larrodera",Diana Navarro,11,11,11,11,44 (12),11,23,
3,5,1,"Cómo hablar, de Eva Amaral (Amaral)",Lucía Jiménez,9,10,8,10,37 (9),10,19,
4,5,1,"Attention, de Charlie Puth",Miquel Fernández,10,9,10,12,41 (10),8,18,
5,5,1,"Our House, de Suggs (Madness)",Raúl Pérez,8,7,7,9,31 (8),9,17,
6,5,1,"Tengo 17 años, de Rocío Dúrcal",Lucía Gil,7,6,5,5,23 (6),7,13,
7,5,1,"Killing Me Softly with His Song, de Roberta Flack",Pepa Aniorte,5,8,9,8,30 (7),5,12,
8,5,1,"Xanadu, de Olivia Newton-John (Xanadu)",La Terremoto de Alcorcón,6,5,6,6,23 (5),6,11,
9,5,1,"Desde que estamos juntos, de Melendi",David Amor,4,4,4,4,16 (4),4,8,
0,5,2,SS,LF,C,ÀL,Total,,,,,
1,5,2,"Think, de Aretha Franklin",Diana Navarro,12,12,12,11,47 (12),12,24,
2,5,2,"Tell Him, de Céline Dion y Barbra Streisand (Dos en uno)",Miquel Fernández,8,11,11,12,42 (11),11,22,
3,5,2,"La chica del 17, de Lina Morgan",La Terremoto de Alcorcón,11,7,7,9,34 (9),7,16,
4,5,2,"Maggie, despierta, de Carlos Tarque (M-Clan)",Raúl Pérez,9,9,9,8,35 (10),6,16,
5,5,2,"Take me to Church, de Hozier",Fran Dieli,5,8,8,5,26 (5),10,15,
6,5,2,"Mayores, de Becky G",Lucía Gil,6,5,5,10,26 (6),9,15,
7,5,2,"Ella, de Bebe",Pepa Aniorte,10,6,6,6,28 (7),8,15,
8,5,2,"Chained to the Rhythm, de Katy Perry",Lucía Jiménez,7,10,10,7,34 (8),5,13,
9,5,2,"Baby Don't Forget my Number y Girl You Know It's True, de Milli Vanilli con David Fernández",David Amor,4,4,4,4,16 (4),4,8,
0,5,3,CL,LF,C,ÀL,Total,,,,,
1,5,3,"Amar pelos dois, de Salvador Sobral",Miquel Fernández,12,12,12,12,48 (12),12,24,
2,5,3,"Candyman, de Christina Aguilera",Lucía Gil,11,11,11,11,44 (11),11,22,
3,5,3,"Time After Time, de Cyndi Lauper",Lucía Jiménez,10,10,10,9,39 (10),10,20,
4,5,3,"Cómo hemos cambiado, de Sole Giménez (Presuntos Implicados) (Training Vip)",Pepa Aniorte,9,9,7,5,30 (7),9,16,
5,5,3,"El 7 de septiembre, de Ana Torroja (Mecano)",Diana Navarro,8,8,9,6,31 (8),8,16,
6,5,3,"Crazy, de Cee Lo Green (Gnarls Barkley)",Fran Dieli,7,6,8,10,31 (9),7,16,
7,5,3,"I'm Too Sexy, de Richard Fairbrass (Right Said Fred)",David Amor,4,7,6,7,24 (6),6,12,
8,5,3,"Carita de buena, de Iván Torres (Efecto Pasillo) (Original y copia)",Raúl Pérez,6,5,5,4,20 (4),5,9,
9,5,3,"1+1=2 enamorados, de Luis Miguel",La Terremoto de Alcorcón,5,4,4,8,21 (5),4,9,
0,5,4,CL,LF,C,ÀL,Total,,,,,
1,5,4,"Digan lo que digan, de Raphael",Raúl Pérez,12,12,12,11,47 (12),12,24,
2,5,4,"What About Us, de Pink",Lucía Gil,11,11,11,12,45 (11),10,21,
3,5,4,"Terriblemente cruel, de Leiva",Lucía Jiménez,9,9,10,10,38 (10),9,19,
4,5,4,"Titanium, de Sia",Diana Navarro,7,6,6,6,25 (6),11,17,
5,5,4,"Celebration, de James ""J.T."" Taylor (Kool & The Gang)",Miquel Fernández,8,10,9,7,34 (9),8,17,
6,5,4,"Send My Love (To Your New Lover), de Adele",Fran Dieli,6,8,7,9,30 (7),7,14,
7,5,4,"Yo tenía un novio (que tocaba en un conjunto beat), de Rubi (Rubi y Los Casinos)",Pepa Aniorte,10,7,8,8,33 (8),6,14,
8,5,4,"D'Artacán y los tres mosqueperros, de D'Artacán",David Amor,5,5,5,5,20 (5),5,10,
9,5,4,"Can't Remember to Forget You, de Shakira y Rihanna (Trae un amigo) con Silvia Abril",La Terremoto de Alcorcón,4,4,4,4,16 (4),4,8,
0,5,5,CL,LF,C,ÀL,Total,,,,,
1,5,5,"Por fin, de Pablo Alborán",Fran Dieli,8,10,9,11,38 (10),12,22,
2,5,5,"Yo no te pido la luna, de Daniela Romo",Pepa Aniorte,10,9,11,10,40 (11),11,22,
3,5,5,"Papi chulo... te traigo el mmmm, de Lorna",La Terremoto de Alcorcón,12,12,12,12,48 (12),10,22,
4,5,5,"Baby, Can I Hold You, de Tracy Chapman",Lucía Jiménez,9,11,8,9,37 (9),9,18,
5,5,5,"Viva la Vida, de Chris Martin (Coldplay)",Raúl Pérez,6,8,10,7,31 (8),6,14,
6,5,5,"Pájaros de barro, de Manolo García",Miquel Fernández,7,5,6,5,23 (5),8,13,
7,5,5,"Mambo No. 5, de Lou Bega",David Amor,11,6,5,6,28 (7),5,12,
8,5,5,"In your bed, de Blas Cantó (Original y copia)",Diana Navarro,4,4,4,4,16 (4),7,11,
9,5,5,"Algo contigo, de Rosario Flores",Lucía Gil,5,7,7,8,27 (6),4,10,
0,5,6,CL,LF,C,ÀL,Total,,,,,
1,5,6,"I Still Haven't Found What I'm Looking For, de Bono (U2)",Miquel Fernández,11,11,11,11,44 (11),12,23,
2,5,6,"Las ocho y diez, de Conchita (Original y copia)",Lucía Gil,12,12,12,12,48 (12),10,22,
3,5,6,"Casta Diva, de Maria Callas",Diana Navarro,4,8,10,8,30 (7),11,18,
4,5,6,"El morrongo, de Marujita Díaz",La Terremoto de Alcorcón,10,7,8,7,32 (9),8,17,
5,5,6,"Casatshock, de Georgie Dann",Raúl Pérez,9,5,7,10,31 (8),7,15,
6,5,6,"If I'm Lucky, de Jason Derulo",Fran Dieli,7,9,9,9,34 (10),5,15,
7,5,6,"Dile que la quiero, de David Civera (Training Vip)",Pepa Aniorte,5,6,5,5,21 (5),9,14,
8,5,6,"All I Wanna Do, de Sheryl Crow",Lucía Jiménez,8,10,6,6,30 (6),6,12,
9,5,6,"Arriquitaun, de Lain",David Amor,6,4,4,4,18 (4),4,8,
0,5,7,CL,LF,C,ÀL,Total,,,,,
1,5,7,"I Wanna Dance With Somebody (Who Loves Me), de Whitney Houston",Lucía Gil,9,11,11,12,43 (11),12,23,
2,5,7,"La jota de la Dolores, de Imperio Argentina",Fran Dieli,12,12,12,11,47 (12),11,23,
3,5,7,"Con los años que me quedan, de Gloria Estefan",Diana Navarro,7,7,8,9,31 (8),10,18,
4,5,7,"Stand by my woman, de Lenny Kravitz",Miquel Fernández,10,8,9,10,37 (9),7,16,
5,5,7,You Can't Hurry Love de Phil Collins,Raúl Pérez,8,9,6,5,28 (7),8,15,
6,5,7,"Havana, de Camila Cabello",Lucía Jiménez,11,10,10,6,37 (10),5,15,
7,5,7,"Yo, dueña de la noche, de Lucía Galán (Pimpinela)",La Terremoto de Alcorcón,6,6,5,7,24 (5),9,14,
8,5,7,"Look at me, de Geri Halliwell",Pepa Aniorte,5,5,7,8,25 (6),6,12,
9,5,7,"Mi agüita amarilla, de Pablo Carbonell (Los Toreros Muertos) (Training VIP)",David Amor,4,4,4,4,16 (4),4,8,
0,5,8,CL,LF,C,ÀL,Total,,,,,
1,5,8,"Sign of the Times, de Harry Styles",Miquel Fernández,10,12,11,11,44 (11),12,23,
2,5,8,"Animals, de Adam Levine (Maroon 5)",Fran Dieli,11,10,12,12,45 (12),11,23,
3,5,8,"Sueño imposible, de Paloma San Basilio",Diana Navarro,12,11,10,9,42 (10),10,20,
4,5,8,Dance Me to the End of Love de Leonard Cohen,Raúl Pérez,9,9,9,10,37 (9),9,18,
5,5,8,"Andar conmigo, de Julieta Venegas",Lucía Jiménez,7,7,8,8,30 (8),8,16,
6,5,8,Viva la gente de Rosalía Garrido,La Terremoto de Alcorcón,5,8,4,5,22 (6),6,12,
7,5,8,"Desde mi libertad, de Ana Belén",Pepa Aniorte,6,4,6,4,20 (4),7,11,
8,5,8,"Look What You Made Me Do, de Taylor Swift",Lucía Gil,8,6,7,6,27 (7),4,11,
9,5,8,"Sangre caliente, de Kiko Rivera (Training VIP)",David Amor,4,5,5,7,21 (5),5,10,
0,5,9,CL,RL,ÀL,C,Total,,,,,
1,5,9,"Life on Mars?, de David Bowie",Miquel Fernández,12,12,11,11,46 (12),12,24,
2,5,9,"Take on Me, de Morten Harket (A-Ha)",Fran Dieli,11,11,10,12,44 (11),11,22,
3,5,9,Sopa de caracol de Julio Ardón (Banda Blanca),David Amor,9,7,12,9,37 (10),10,20,
4,5,9,"Natural Woman, de Carole King",Lucía Jiménez,10,9,7,10,36 (9),9,18,
5,5,9,"El talismán, de Rosana",Pepa Aniorte,7,8,9,8,32 (7),8,15,
6,5,9,Para no verte más de Guillermo Novellis (La Mosca Tsé-Tsé),Raúl Pérez,6,6,4,5,21 (5),7,12,
7,5,9,"Travesuras, de Nicky Jam",Lucía Gil,5,5,6,6,22 (6),6,12,
8,5,9,"Halo, de Beyoncé",Diana Navarro,8,10,8,7,33 (8),4,12,
9,5,9,All the Lovers de Kylie Minogue,La Terremoto de Alcorcón,4,4,5,4,17 (4),5,9,
0,5,10,CL,LF,C,AL,Total,,,,,
1,5,10,Frente a frente de Jeanette,Lucía Gil,11,11,7,10,39 (11),11,22,
2,5,10,"Say You Won't Let Go, de James Arthur",Raúl Pérez,10,9,10,8,37 (10),10,20,
3,5,10,"More Than Words, de Gary Cherone (Extreme)",Miquel Fernández,6,6,9,9,30 (7),12,19,
4,5,10,"Las vespas, de Concha Velasco",Diana Navarro,12,12,12,11,47 (12),7,19,
5,5,10,"I Don't Want A Lover, de Sharleen Spiteri (Texas)",Lucía Jiménez,8,10,11,6,35 (8),9,17,
6,5,10,"Vente pa' ca, de Ricky Martin",Fran Dieli,9,8,6,12,35 (9),8,17,
7,5,10,Ring My Bell de Anita Ward,La Terremoto de Alcorcón,7,5,5,7,24 (5),6,11,
8,5,10,"Mediterráneo, de Lolita Flores y Joan Manuel Serrat (Trae un amigo) con Secun de la Rosa",Pepa Aniorte,5,7,8,5,25 (6),5,11,
9,5,10,"Tarzan Boy, de Jimmy McShane (Baltimora)",David Amor,4,4,4,4,16 (4),4,8,
0,5,11,CL,LF,C,AL,Total,,,,,
1,5,11,"New York, New York, de Liza Minnelli y Luciano Pavarotti (Trae un amigo) con Edu Soto",Lucía Jiménez,12,12,12,12,48 (12),10,22,
2,5,11,"Otro amor vendrá, de Lara Fabian",Diana Navarro,10,9,7,10,36 (9),12,21,
3,5,11,"Dream On, de Steven Tyler  (Aerosmith)",Miquel Fernández,9,11,11,8,39 (10),11,21,
4,5,11,"Soy la vedette, de Gracita Morales",La Terremoto de Alcorcón,11,10,10,11,42 (11),8,19,
5,5,11,"Quiero ser, de Amaia Montero",Raúl Pérez,7,8,9,9,33 (8),9,17,
